Index,X,Y,Z
0,0,11.9941,0.376929
1,0.144245,11.9941,0.348237
2,0.266529,11.9941,0.266529
3,0.348237,11.9941,0.144245
4,0.376929,11.9941,-1.64761e-08
5,0.348237,11.9941,-0.144245
6,0.266529,11.9941,-0.266529
7,0.144245,11.9941,-0.348237
8,-3.29522e-08,11.9941,-0.376929
9,-0.144245,11.9941,-0.348237
10,-0.266529,11.9941,-0.266529
11,-0.348237,11.9941,-0.144245
12,-0.376929,11.9941,4.49483e-09
13,-0.348237,11.9941,0.144245
14,-0.266529,11.9941,0.266529
15,-0.144245,11.9941,0.348237
16,0,11.0866,4.5922
17,1.75736,11.0866,4.24264
18,3.24718,11.0866,3.24718
19,4.24264,11.0866,1.75736
20,4.5922,11.0866,-2.00731e-07
21,4.24264,11.0866,-1.75736
22,3.24718,11.0866,-3.24718
23,1.75736,11.0866,-4.24264
24,-4.01463e-07,11.0866,-4.5922
25,-1.75736,11.0866,-4.24264
26,-3.24718,11.0866,-3.24718
27,-4.24264,11.0866,-1.75736
28,-4.5922,11.0866,5.47615e-08
29,-4.24264,11.0866,1.75736
30,-3.24718,11.0866,3.24718
31,-1.75736,11.0866,4.24264
32,0,8.48528,8.48528
33,3.24718,8.48528,7.83938
34,6,8.48528,6
35,7.83938,8.48528,3.24718
36,8.48528,8.48528,-3.70903e-07
37,7.83938,8.48528,-3.24718
38,6,8.48528,-6
39,3.24718,8.48528,-7.83938
40,-7.41807e-07,8.48528,-8.48528
41,-3.24718,8.48528,-7.83938
42,-6,8.48528,-6
43,-7.83938,8.48528,-3.24718
44,-8.48528,8.48528,1.01186e-07
45,-7.83938,8.48528,3.24718
46,-6,8.48528,6
47,-3.24718,8.48528,7.83938
48,0,4.5922,11.0866
49,4.24264,4.5922,10.2426
50,7.83938,4.5922,7.83938
51,10.2426,4.5922,4.24264
52,11.0866,4.5922,-4.84609e-07
53,10.2426,4.5922,-4.24264
54,7.83938,4.5922,-7.83938
55,4.24264,4.5922,-10.2426
56,-9.69217e-07,4.5922,-11.0866
57,-4.24264,4.5922,-10.2426
58,-7.83938,4.5922,-7.83938
59,-10.2426,4.5922,-4.24264
60,-11.0866,4.5922,1.32206e-07
61,-10.2426,4.5922,4.24264
62,-7.83938,4.5922,7.83938
63,-4.24264,4.5922,10.2426
64,0,-5.24537e-07,12
65,4.5922,-5.24537e-07,11.0866
66,8.48528,-5.24537e-07,8.48528
67,11.0866,-5.24537e-07,4.5922
68,12,-5.24537e-07,-5.24537e-07
69,11.0866,-5.24537e-07,-4.5922
70,8.48528,-5.24537e-07,-8.48528
71,4.5922,-5.24537e-07,-11.0866
72,-1.04907e-06,-5.24537e-07,-12
73,-4.5922,-5.24537e-07,-11.0866
74,-8.48528,-5.24537e-07,-8.48528
75,-11.0866,-5.24537e-07,-4.5922
76,-12,-5.24537e-07,1.43099e-07
77,-11.0866,-5.24537e-07,4.5922
78,-8.48528,-5.24537e-07,8.48528
79,-4.5922,-5.24537e-07,11.0866
80,0,-4.5922,11.0866
81,4.24264,-4.5922,10.2426
82,7.83938,-4.5922,7.83938
83,10.2426,-4.5922,4.24264
84,11.0866,-4.5922,-4.84609e-07
85,10.2426,-4.5922,-4.24264
86,7.83938,-4.5922,-7.83938
87,4.24264,-4.5922,-10.2426
88,-9.69217e-07,-4.5922,-11.0866
89,-4.24264,-4.5922,-10.2426
90,-7.83938,-4.5922,-7.83938
91,-10.2426,-4.5922,-4.24264
92,-11.0866,-4.5922,1.32206e-07
93,-10.2426,-4.5922,4.24264
94,-7.83938,-4.5922,7.83938
95,-4.24264,-4.5922,10.2426
96,0,-8.48528,8.48528
97,3.24718,-8.48528,7.83938
98,6,-8.48528,6
99,7.83938,-8.48528,3.24718
100,8.48528,-8.48528,-3.70903e-07
101,7.83938,-8.48528,-3.24718
102,6,-8.48528,-6
103,3.24718,-8.48528,-7.83938
104,-7.41807e-07,-8.48528,-8.48528
105,-3.24718,-8.48528,-7.83938
106,-6,-8.48528,-6
107,-7.83938,-8.48528,-3.24718
108,-8.48528,-8.48528,1.01186e-07
109,-7.83938,-8.48528,3.24718
110,-6,-8.48528,6
111,-3.24718,-8.48528,7.83938
112,0,-11.0866,4.5922
113,1.75736,-11.0866,4.24264
114,3.24718,-11.0866,3.24718
115,4.24264,-11.0866,1.75736
116,4.5922,-11.0866,-2.00732e-07
117,4.24264,-11.0866,-1.75736
118,3.24718,-11.0866,-3.24718
119,1.75736,-11.0866,-4.24264
120,-4.01463e-07,-11.0866,-4.5922
121,-1.75736,-11.0866,-4.24264
122,-3.24718,-11.0866,-3.24718
123,-4.24264,-11.0866,-1.75736
124,-4.5922,-11.0866,5.47615e-08
125,-4.24264,-11.0866,1.75736
126,-3.24718,-11.0866,3.24718
127,-1.75736,-11.0866,4.24264
128,0,-11.9941,0.376928
129,0.144244,-11.9941,0.348236
130,0.266528,-11.9941,0.266528
131,0.348236,-11.9941,0.144244
132,0.376928,-11.9941,-1.64761e-08
133,0.348236,-11.9941,-0.144244
134,0.266528,-11.9941,-0.266528
135,0.144244,-11.9941,-0.348236
136,-3.29521e-08,-11.9941,-0.376928
137,-0.144244,-11.9941,-0.348236
138,-0.266528,-11.9941,-0.266529
139,-0.348236,-11.9941,-0.144244
140,-0.376928,-11.9941,4.49482e-09
141,-0.348236,-11.9941,0.144244
142,-0.266529,-11.9941,0.266528
143,-0.144244,-11.9941,0.348236
